# Deterministic level progression only.
# stable_id|scope|owner|level|kind|value|spell_level|free_casts
# Choice outcomes (subclasses, feats/ASI choices, fighting-style choice, learned-spell choices,
# invocation/metamagic selections, etc.) are intentionally not selected here.
prog-paladin-aura-expansion|class|Paladin|18|feature|Aura Expansion|0|0
prog-ranger-favored-enemy|class|Ranger|1|feature|Favored Enemy|0|0
prog-ranger-hunters-mark|class|Ranger|1|spell|Hunter's Mark|1|2
prog-ranger-hunters-mark-5|class|Ranger|5|spell|Hunter's Mark|1|3
prog-ranger-hunters-mark-9|class|Ranger|9|spell|Hunter's Mark|1|4
prog-ranger-hunters-mark-13|class|Ranger|13|spell|Hunter's Mark|1|5
prog-ranger-hunters-mark-17|class|Ranger|17|spell|Hunter's Mark|1|6
prog-ranger-spellcasting|class|Ranger|1|feature|Spellcasting|0|0
prog-ranger-weapon-mastery|class|Ranger|1|feature|Weapon Mastery|0|0
prog-ranger-deft-explorer|class|Ranger|2|feature|Deft Explorer|0|0
prog-ranger-fighting-style|class|Ranger|2|feature|Fighting Style|0|0
prog-ranger-extra-attack|class|Ranger|5|feature|Extra Attack|0|0
prog-ranger-roving|class|Ranger|6|feature|Roving|0|0
prog-ranger-tireless|class|Ranger|10|feature|Tireless|0|0
prog-ranger-expertise|class|Ranger|9|feature|Expertise|0|0
prog-ranger-natures-veil|class|Ranger|14|feature|Nature's Veil|0|0
prog-ranger-precise-hunter|class|Ranger|17|feature|Precise Hunter|0|0
prog-ranger-feral-senses|class|Ranger|18|feature|Feral Senses|0|0
prog-ranger-relentless-hunter|class|Ranger|13|feature|Relentless Hunter|0|0
prog-ranger-foe-slayer|class|Ranger|20|feature|Foe Slayer|0|0
prog-rogue-expertise|class|Rogue|1|feature|Expertise|0|0
prog-rogue-sneak-attack|class|Rogue|1|feature|Sneak Attack|0|0
prog-rogue-thieves-cant|class|Rogue|1|feature|Thieves' Cant|0|0
prog-rogue-weapon-mastery|class|Rogue|1|feature|Weapon Mastery|0|0
prog-rogue-cunning-action|class|Rogue|2|feature|Cunning Action|0|0
prog-rogue-steady-aim|class|Rogue|3|feature|Steady Aim|0|0
prog-rogue-cunning-strike|class|Rogue|5|feature|Cunning Strike|0|0
prog-rogue-uncanny-dodge|class|Rogue|5|feature|Uncanny Dodge|0|0
prog-rogue-evasion|class|Rogue|7|feature|Evasion|0|0
prog-rogue-reliable-talent|class|Rogue|7|feature|Reliable Talent|0|0
prog-rogue-improved-cunning-strike|class|Rogue|11|feature|Improved Cunning Strike|0|0
prog-rogue-devious-strikes|class|Rogue|14|feature|Devious Strikes|0|0
prog-rogue-slippery-mind|class|Rogue|15|feature|Slippery Mind|0|0
prog-rogue-elusive|class|Rogue|18|feature|Elusive|0|0
prog-rogue-stroke-of-luck|class|Rogue|20|feature|Stroke of Luck|0|0
prog-sorcerer-spellcasting|class|Sorcerer|1|feature|Spellcasting|0|0
prog-sorcerer-innate-sorcery|class|Sorcerer|1|feature|Innate Sorcery|0|0
prog-sorcerer-font-of-magic|class|Sorcerer|2|feature|Font of Magic|0|0
prog-sorcerer-sorcerous-restoration|class|Sorcerer|5|feature|Sorcerous Restoration|0|0
prog-sorcerer-metamagic|class|Sorcerer|2|feature|Metamagic|0|0
prog-sorcerer-sorcery-incarnate|class|Sorcerer|7|feature|Sorcery Incarnate|0|0
prog-sorcerer-arcane-apotheosis|class|Sorcerer|20|feature|Arcane Apotheosis|0|0
prog-warlock-pact-magic|class|Warlock|1|feature|Pact Magic|0|0
prog-warlock-eldritch-invocations|class|Warlock|1|feature|Eldritch Invocations|0|0
prog-warlock-magical-cunning|class|Warlock|2|feature|Magical Cunning|0|0
prog-warlock-mystic-arcanum|class|Warlock|11|feature|Mystic Arcanum|0|0
prog-warlock-contact-patron|class|Warlock|9|feature|Contact Patron|0|0
prog-warlock-eldritch-master|class|Warlock|20|feature|Eldritch Master|0|0
prog-wizard-spellcasting|class|Wizard|1|feature|Spellcasting|0|0
prog-wizard-ritual-adept|class|Wizard|1|feature|Ritual Adept|0|0
prog-wizard-arcane-recovery|class|Wizard|1|feature|Arcane Recovery|0|0
prog-wizard-spellbook|class|Wizard|1|feature|Spellbook|0|0
prog-wizard-scholar|class|Wizard|2|feature|Scholar|0|0
prog-wizard-memorize-spell|class|Wizard|5|feature|Memorize Spell|0|0
prog-wizard-spell-mastery|class|Wizard|18|feature|Spell Mastery|0|0
prog-wizard-signature-spells|class|Wizard|20|feature|Signature Spells|0|0
prog-aasimar-light|species|Aasimar|1|spell|Light|0|0
prog-aasimar-celestial-revelation|species|Aasimar|3|feature|Celestial Revelation|0|0
prog-drow-dancing-lights|species|Drow Elf|1|spell|Dancing Lights|0|0
prog-drow-faerie-fire|species|Drow Elf|3|spell|Faerie Fire|1|1
prog-drow-darkness|species|Drow Elf|5|spell|Darkness|2|1
prog-high-elf-prestidigitation|species|High Elf|1|spell|Prestidigitation|0|0
prog-high-elf-detect-magic|species|High Elf|3|spell|Detect Magic|1|1
prog-high-elf-misty-step|species|High Elf|5|spell|Misty Step|2|1
prog-wood-elf-druidcraft|species|Wood Elf|1|spell|Druidcraft|0|0
prog-wood-elf-longstrider|species|Wood Elf|3|spell|Longstrider|1|1
prog-wood-elf-pass-without-trace|species|Wood Elf|5|spell|Pass without Trace|2|1
prog-abyssal-tiefling-poison-spray|species|Abyssal Tiefling|1|spell|Poison Spray|0|0
prog-abyssal-tiefling-thaumaturgy|species|Abyssal Tiefling|1|spell|Thaumaturgy|0|0
prog-abyssal-tiefling-ray-sickness|species|Abyssal Tiefling|3|spell|Ray of Sickness|1|1
prog-abyssal-tiefling-hold-person|species|Abyssal Tiefling|5|spell|Hold Person|2|1
prog-chthonic-tiefling-chill-touch|species|Chthonic Tiefling|1|spell|Chill Touch|0|0
prog-chthonic-tiefling-thaumaturgy|species|Chthonic Tiefling|1|spell|Thaumaturgy|0|0
prog-chthonic-tiefling-false-life|species|Chthonic Tiefling|3|spell|False Life|1|1
prog-chthonic-tiefling-ray-enfeeblement|species|Chthonic Tiefling|5|spell|Ray of Enfeeblement|2|1
prog-infernal-tiefling-fire-bolt|species|Infernal Tiefling|1|spell|Fire Bolt|0|0
prog-infernal-tiefling-thaumaturgy|species|Infernal Tiefling|1|spell|Thaumaturgy|0|0
prog-infernal-tiefling-hellish-rebuke|species|Infernal Tiefling|3|spell|Hellish Rebuke|1|1
prog-infernal-tiefling-darkness|species|Infernal Tiefling|5|spell|Darkness|2|1
